"STATION","NAME","DATE","TMAX"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-28","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-29","67"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-30","68"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-31","61"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-01","62"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-02","56"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-03","59"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-04","63"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-05","54"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-06","62"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-07","58"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-08","58"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-09","60"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-10","67"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-11","70"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-12","66"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-13","62"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-14","64"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-15","67"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-16","65"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-17","60"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-18","57"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-19","54"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-20","55"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-21","55"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-22","56"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-23","54"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-24","55"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-25","58"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-26","55"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-27","58"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-28","54"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-29","60"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-06-30","47"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-01","51"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-02","55"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-03","56"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-04","60"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-05","53"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-06","54"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-07","60"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-08","64"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-09","63"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-10","65"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-11","58"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-12","56"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-13","58"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-14","59"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-15","68"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-16","74"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-17","68"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-18","63"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-19","61"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-20","63"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-21","56"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-22","59"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-23","68"
